full_name,gender,type,state,district,full_district,party,personal_twitter,official_twitter,partisan_lean_2018,partisan_lean_2020,last_name,first_name,middle_name,suffix,url,address,phone,contact_form,rss_url,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Lisa Murkowski,F,sen,AK,,NaN,R,LisaForSenate,LisaMurkowski,R+15,R+16,Murkowski,Lisa,A.,,https://www.murkowski.senate.gov,522 Hart Senate Office Building Washington DC 20510,202-224-6665,https://www.murkowski.senate.gov/public/index.cfm/contact,http://www.murkowski.senate.gov/public/?a=rss.feed,SenLisaMurkowski,senatormurkowski,UCaigku16AErqvD0wRuwGb9A,M001153,1694.0,N00026050,S288,S4AK00099,1004138.0,300075,15841.0,Lisa Murkowski,,40300.0,Lisa Murkowski
Dan Sullivan,M,sen,AK,,NaN,R,DanSullivan_AK,SenDanSullivan,R+15,R+16,Sullivan,Dan,,,https://www.sullivan.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3004,https://www.sullivan.senate.gov/contact/email,,SenDanSullivan,,UC7tXCm8gKlAhTFo2kuf5ylw,S001198,2290.0,N00035774,S383,S4AK00214,1023262.0,412665,114964.0,Daniel S. Sullivan,,41500.0,Dan Sullivan (U.S. senator)
Richard C. Shelby,M,sen,AL,,NaN,R,NaN,SenShelby,R+27,R+27,Shelby,Richard,C.,,https://www.shelby.senate.gov,304 Russell Senate Office Building Washington DC 20510,202-224-5744,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,http://www.shelby.senate.gov/public/index.cfm/rss/feed,RichardShelby,SenatorRichardShelby,UCyMzDCRZrmhr_OGDjVuAeJw,S000320,1049.0,N00009920,S184,S6AL00013,1859.0,300089,53266.0,Richard Shelby,,94659.0,Richard Shelby
Tommy Tuberville,M,sen,AL,,NaN,R,TTuberville,SenTuberville,R+27,R+27,Tuberville,Tommy,Hawley,,https://www.tuberville.senate.gov,B40A Dirksen Senate Office Building Washington DC 20510,202-224-4124,https://www.tuberville.senate.gov,,,,,T000278,,,S412,S0AL00230,,456796,188306.0,Tommy Tuberville,,,Tommy Tuberville
John Boozman,M,sen,AR,,NaN,R,Boozman4AR,JohnBoozman,R+24,R+26,Boozman,John,,,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,1687.0,N00013873,S343,"H2AR03176,S0AR00150",92069.0,400040,27958.0,John Boozman,,20101.0,John Boozman
Tom Cotton,M,sen,AR,,NaN,R,TomCottonAR,SenTomCotton,R+24,R+26,Cotton,Tom,,,https://www.cotton.senate.gov,326 Russell Senate Office Building Washington DC 20510,202-224-2353,https://www.cotton.senate.gov/contact/contact-tom,,SenatorTomCotton,RepTomCotton,UCXEk6mokWBajIpNatbjnwSg,C001095,2098.0,N00033363,S374,"H2AR04083,S4AR00103",63928.0,412508,135651.0,Tom Cotton,,21301.0,Tom Cotton
Kyrsten Sinema,F,sen,AZ,,NaN,D,kyrstensinema,SenatorSinema,R+9,R+8,Sinema,Kyrsten,,,https://www.sinema.senate.gov,317 Hart Senate Office Building Washington DC 20510,202-224-4521,https://www.sinema.senate.gov/contact-kyrsten,,CongresswomanSinema,repsinema,UC4NzhW7D4lQdukSGWmFnK9w,S001191,2099.0,N00033983,S403,"H2AZ09019,S8AZ00197",68489.0,412509,28338.0,Kyrsten Sinema,,21300.0,Kyrsten Sinema
Mark Kelly,M,sen,AZ,,NaN,D,CaptMarkKelly,SenMarkKelly,R+9,R+8,Kelly,Mark,,,https://www.kelly.senate.gov,B40B Dirksen Senate Office Building Washington DC 20510,202-224-2235,https://www.kelly.senate.gov,,SenMarkKelly,,,K000377,,N00044223,S406,S0AZ00350,,456794,,Mark Kelly,,,Mark Kelly
Dianne Feinstein,F,sen,CA,,NaN,D,NaN,SenFeinstein,D+24,D+22,Feinstein,Dianne,,,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332.0,N00007364,S221,S0CA00199,13061.0,300043,53273.0,Dianne Feinstein,,49300.0,Dianne Feinstein
Alex Padilla,M,sen,CA,,NaN,D,AlexPadilla4CA,SenAlexPadilla,D+24,D+22,Padilla,Alejandro,,,https://www.padilla.senate.gov,112 Hart Senate Office Building Washington DC 20510,202-224-3553,http://www.padilla.senate.gov,,,,,P000145,,,S413,,,456856,,Alex Padilla,,,Alex Padilla
Michael F. Bennet,M,sen,CO,,NaN,D,MichaelBennet,SenatorBennet,D+1,R+0,Bennet,Michael,F.,,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,http://www.bennet.senate.gov/rss/feeds/?type=news,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965.0,N00030608,S330,S0CO00211,1031622.0,412330,110942.0,Michael Bennet,,40910.0,Michael Bennet
