,full_name,gender,type,state,district,full_district,party,personal_twitter,official_twitter,partisan_lean_2018,partisan_lean_2020,last_name,first_name,middle_name,suffix,url,address,phone,contact_form,rss_url,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,Bio,Follower Count
0,Lisa Murkowski,F,sen,AK,,,R,LisaForSenate,LisaMurkowski,R+15,R+16,Murkowski,Lisa,A.,,https://www.murkowski.senate.gov,522 Hart Senate Office Building Washington DC 20510,202-224-6665,https://www.murkowski.senate.gov/public/index.cfm/contact,http://www.murkowski.senate.gov/public/?a=rss.feed,SenLisaMurkowski,senatormurkowski,UCaigku16AErqvD0wRuwGb9A,M001153,1694.0,N00026050,S288,S4AK00099,1004138.0,300075,15841.0,Lisa Murkowski,,40300.0,Lisa Murkowski,fighting for alaska  always ,6206.0
1,Dan Sullivan,M,sen,AK,,,R,DanSullivan_AK,SenDanSullivan,R+15,R+16,Sullivan,Dan,,,https://www.sullivan.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3004,https://www.sullivan.senate.gov/contact/email,,SenDanSullivan,,UC7tXCm8gKlAhTFo2kuf5ylw,S001198,2290.0,N00035774,S383,S4AK00214,1023262.0,412665,114964.0,Daniel S. Sullivan,,41500.0,Dan Sullivan (U.S. senator),fmr dept of natural resources commissioner   alaska attorney general  fmr ass t secy of state  proud marine  senator for alaska   standwithdan,4684.0
2,Richard C. Shelby,M,sen,AL,,,R,SenShelby,SenShelby,R+27,R+27,Shelby,Richard,C.,,https://www.shelby.senate.gov,304 Russell Senate Office Building Washington DC 20510,202-224-5744,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,http://www.shelby.senate.gov/public/index.cfm/rss/feed,RichardShelby,SenatorRichardShelby,UCyMzDCRZrmhr_OGDjVuAeJw,S000320,1049.0,N00009920,S184,S6AL00013,1859.0,300089,53266.0,Richard Shelby,,94659.0,Richard Shelby,the official twitter page for u s  senator richard shelby  r-ala   https //t co/yqoy54upsf,93449.0
3,Tommy Tuberville,M,sen,AL,,,R,TTuberville,SenTuberville,R+27,R+27,Tuberville,Tommy,Hawley,,https://www.tuberville.senate.gov,B40A Dirksen Senate Office Building Washington DC 20510,202-224-4124,https://www.tuberville.senate.gov,,,,,T000278,,,S412,S0AL00230,,456796,188306.0,Tommy Tuberville,,,Tommy Tuberville,former college football coach  two time sec coach of the year  six national coach of the year awards  senator for the great state of alabama ,74110.0
4,John Boozman,M,sen,AR,,,R,Boozman4AR,JohnBoozman,R+24,R+26,Boozman,John,,,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,1687.0,N00013873,S343,"H2AR03176,S0AR00150",92069.0,400040,27958.0,John Boozman,,20101.0,John Boozman,optometrist  husband  dad   grandfather   razorbackfb alum  5th-generation arkansan  official twitter account for my campaign to represent ar in the us senate ,5230.0
5,Tom Cotton,M,sen,AR,,,R,TomCottonAR,SenTomCotton,R+24,R+26,Cotton,Tom,,,https://www.cotton.senate.gov,326 Russell Senate Office Building Washington DC 20510,202-224-2353,https://www.cotton.senate.gov/contact/contact-tom,,SenatorTomCotton,RepTomCotton,UCXEk6mokWBajIpNatbjnwSg,C001095,2098.0,N00033363,S374,"H2AR04083,S4AR00103",63928.0,412508,135651.0,Tom Cotton,,21301.0,Tom Cotton,u s  senator for arkansas  for official updates  see  sentomcotton  rltw ,142799.0
6,Kyrsten Sinema,F,sen,AZ,,,D,kyrstensinema,SenatorSinema,R+9,R+8,Sinema,Kyrsten,,,https://www.sinema.senate.gov,317 Hart Senate Office Building Washington DC 20510,202-224-4521,https://www.sinema.senate.gov/contact-kyrsten,,CongresswomanSinema,repsinema,UC4NzhW7D4lQdukSGWmFnK9w,S001191,2099.0,N00033983,S403,"H2AZ09019,S8AZ00197",68489.0,412509,28338.0,Kyrsten Sinema,,21300.0,Kyrsten Sinema,us senator for arizona  also  teaching  asu  ultramarathoner  boston qualifier  and ironman ,160896.0
7,Mark Kelly,M,sen,AZ,,,D,CaptMarkKelly,SenMarkKelly,R+9,R+8,Kelly,Mark,,,https://www.kelly.senate.gov,B40B Dirksen Senate Office Building Washington DC 20510,202-224-2235,https://www.kelly.senate.gov,,SenMarkKelly,,,K000377,,N00044223,S406,S0AZ00350,,456794,,Mark Kelly,,,Mark Kelly,navy combat veteran   retired nasa astronaut  husband to  gabbygiffords  united states senator for the great state of arizona ,496604.0
8,Dianne Feinstein,F,sen,CA,,,D,SenFeinstein,SenFeinstein,D+24,D+22,Feinstein,Dianne,,,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332.0,N00007364,S221,S0CA00199,13061.0,300043,53273.0,Dianne Feinstein,,49300.0,Dianne Feinstein,united states senator from california  on facebook at  https //t co/rvlkjpls9y,1507695.0
9,Alex Padilla,M,sen,CA,,,D,AlexPadilla4CA,SenAlexPadilla,D+24,D+22,Padilla,Alejandro,,,https://www.padilla.senate.gov,112 Hart Senate Office Building Washington DC 20510,202-224-3553,http://www.padilla.senate.gov,,,,,P000145,,,S413,,,456856,,Alex Padilla,,,Alex Padilla,u s  senator for california  husband   dad  former ca secretary of state   mit grad  san fernando valley native  defending the dream ,84835.0
10,Michael F. Bennet,M,sen,CO,,,D,MichaelBennet,SenatorBennet,D+1,R+0,Bennet,Michael,F.,,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,http://www.bennet.senate.gov/rss/feeds/?type=news,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965.0,N00030608,S330,S0CO00211,1031622.0,412330,110942.0,Michael Bennet,,40910.0,Michael Bennet,fighting for the next generation  current senator  former school superintendent  two n\xe2\x80\x99s  one t ,48528.0
11,John W. Hickenlooper,M,sen,CO,,,D,Hickenlooper,,D+1,R+0,Hickenlooper,John,Wright,,https://www.hickenlooper.senate.gov,B85 Russell Senate Office Building Washington DC 20510,202-224-5941,https://www.hickenlooper.senate.gov,,,,,H000273,,,S408,S0CO00575,,456797,,John Hickenlooper,,,John Hickenlooper,former geologist  brewer  mayor  and governor  occasional banjo player  ready to bring change to washington   get things done for colorado ,215303.0
12,Richard Blumenthal,M,sen,CT,,,D,SenBlumenthal,SenBlumenthal,D+11,D+10,Blumenthal,Richard,,,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076.0,N00031685,S341,S0CT00177,21799.0,412490,1568.0,Richard Blumenthal,,41101.0,Richard Blumenthal,official twitter account of u s  senator richard blumenthal  proudly working for the people of connecticut ,712225.0
13,Christopher Murphy,M,sen,CT,,,D,ChrisMurphyCT,senmurphyoffice,D+11,D+10,Murphy,Christopher,S.,,https://www.murphy.senate.gov,136 Hart Senate Office Building Washington DC 20510,202-224-4041,http://www.murphy.senate.gov/contact,http://www.theday.com/article/20121216/nws12/312169935/1069/rss,chrismurphyct,senchrismurphy,UCbcEa40PIFpLpdDe06n3F3Q,M001169,1837.0,N00027566,S364,"H6CT05124,S2CT00132",1021270.0,412194,17189.0,Christopher S. Murphy,,20707.0,Chris Murphy,u s  senator from connecticut ,1037568.0
14,Thomas R. Carper,M,sen,DE,,,D,TomCarperforDE,SenatorCarper,D+14,D+12,Carper,Thomas,Richard,,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179.0,N00012508,S277,S8DE00079,663.0,300019,22421.0,Tom Carper,,15015.0,Tom Carper,u s  senator for delaware  father  husband and proud veteran of the u s  navy  detroit  tigers fan ,4192.0
15,Christopher A. Coons,M,sen,DE,,,D,ChrisCoonsforDE,ChrisCoons,D+14,D+12,Coons,Christopher,Andrew,,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984.0,N00031820,S337,S0DE00092,9269028.0,412390,122834.0,Chris Coons,,40916.0,Chris Coons,u s  senator from delaware  former new castle county exec   in-house counsel for a manufacturing company  husband   father of 3   he/him/his   campaign account ,10210.0
16,Marco Rubio,M,sen,FL,,,R,marcorubio,SenRubioPress,R+5,R+6,Rubio,Marco,,,https://www.rubio.senate.gov,284 Russell Senate Office Building Washington DC 20510,202-224-3041,http://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov/public/?a=rss.feed,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,R000595,2084.0,N00030612,S350,S0FL00338,87599.0,412491,1601.0,Marco Rubio,,41102.0,Marco Rubio,banned in   sanctioned by china follower of christ husband father  proud american  us senator for florida   gatornation    finsup official tweets  senrubiopress,4211486.0
17,Rick Scott,M,sen,FL,,,R,ScottforFlorida,SenRickScott,R+5,R+6,Scott,Rick,,,https://www.rickscott.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,https://www.rickscott.senate.gov/contact_rick,,RickScottSenOffice,,UC-Y9pFmW4PYGZHkC8lcqSkQ,S001217,,N00043290,S404,S8FL00273,,412838,124204.0,Rick Scott,,41903.0,Rick Scott,senator from florida   nrsc chairman  grandpa  father  husband  45th governor of florida  navy vet  businessman   letsgettowork,135376.0
18,Jon Ossoff,M,sen,GA,,,D,ossoff,SenOssoff,R+12,R+13,Ossoff,Jon,,,https://www.ossoff.senate.gov,825 B&C Hart Senate Office Building Washington DC 20510,202-224-3521,https://www.ossoff.senate.gov,,,,,O000174,,,S414,"H8GA06195,S8GA00180",,456857,,Jon Ossoff,,,Jon Ossoff,u s  senator from georgia ,1199816.0
19,Raphael G. Warnock,M,sen,GA,,,D,ReverendWarnock,SenatorWarnock,R+12,R+13,Warnock,Raphael,Gamaliel,,https://www.warnock.senate.gov,B40D Dirksen Senate Office Building Washington DC 20510,202-224-3643,https://www.warnock.senate.gov,,,,,W000790,,,S415,S0GA00559,,456858,,Raphael Warnock,,,Raphael Warnock,pastor  advocate  savannah born   raised   morehouse alum  senator from georgia ,935577.0
20,Mazie K. Hirono,F,sen,HI,,,D,mazieforhawaii,MazieHirono,D+36,D+36,Hirono,Mazie,K.,,https://www.hirono.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-6361,https://www.hirono.senate.gov/contact,http://www.hirono.senate.gov/rss/feeds/?type=all,senatorhirono,CongresswomanHirono,UCcoKhxad156flzPYJ8JMFOA,H001042,1844.0,N00028139,S361,"H6HI02251,S2HI00106",91216.0,412200,1677.0,Mazie K. Hirono,,20713.0,Mazie Hirono,u s  senator for hawaii  focused on getting our families back to work and building a sustainable future for hawaii ,7735.0
21,Brian Schatz,M,sen,HI,,,D,brianschatz,SenBrianSchatz,D+36,D+36,Schatz,Brian,Emanuel,,https://www.schatz.senate.gov,722 Hart Senate Office Building Washington DC 20510,202-224-3934,https://www.schatz.senate.gov/contact,,SenBrianSchatz,senbrianschatz,UC8-mSYp2WqBiB_5iwtwKfow,S001194,2173.0,N00028138,S353,"S4HI00136,H6HI02244",87784.0,412507,17852.0,Brian E. Schatz,,41112.0,Brian Schatz,united states senator from hawaii  dad  climate hawk  appropriator  chair of the senate committee on indian affairs  chief deputy whip ,380052.0
