full_name,type,state,district,twitter_url,bioguide_id
Lisa Murkowski,sen,AK,,https://twitter.com/LisaForSenate,M001153
Dan Sullivan,sen,AK,,https://twitter.com/DanSullivan_AK,S001198
Richard C. Shelby,sen,AL,,NaN,S000320
Tommy Tuberville,sen,AL,,https://twitter.com/TTuberville,T000278
John Boozman,sen,AR,,https://twitter.com/Boozman4AR,B001236
Tom Cotton,sen,AR,,https://twitter.com/TomCottonAR,C001095
Kyrsten Sinema,sen,AZ,,https://twitter.com/kyrstensinema,S001191
Mark Kelly,sen,AZ,,https://twitter.com/CaptMarkKelly,K000377
Dianne Feinstein,sen,CA,,NaN,F000062
Alex Padilla,sen,CA,,https://twitter.com/AlexPadilla4CA,P000145
Michael F. Bennet,sen,CO,,https://twitter.com/MichaelBennet,B001267
John W. Hickenlooper,sen,CO,,https://twitter.com/Hickenlooper,H000273
Richard Blumenthal,sen,CT,,NaN,B001277
Christopher Murphy,sen,CT,,https://twitter.com/ChrisMurphyCT,M001169
Thomas R. Carper,sen,DE,,https://twitter.com/TomCarperforDE,C000174
Christopher A. Coons,sen,DE,,https://twitter.com/ChrisCoonsforDE,C001088
Marco Rubio,sen,FL,,https://twitter.com/marcorubio,R000595
Rick Scott,sen,FL,,https://twitter.com/ScottforFlorida,S001217
Jon Ossoff,sen,GA,,https://twitter.com/ossoff,O000174
Raphael G. Warnock,sen,GA,,https://twitter.com/ReverendWarnock,W000790
Mazie K. Hirono,sen,HI,,https://twitter.com/mazieforhawaii,H001042
Brian Schatz,sen,HI,,https://twitter.com/brianschatz,S001194
Chuck Grassley,sen,IA,,NaN,G000386
Joni Ernst,sen,IA,,https://twitter.com/joniernst,E000295
James E. Risch,sen,ID,,https://twitter.com/Risch4Idaho,R000584
Mike Crapo,sen,ID,,https://twitter.com/crapoforsenate,C000880
Richard J. Durbin,sen,IL,,https://twitter.com/DickDurbin,D000563
Tammy Duckworth,sen,IL,,https://twitter.com/TammyforIL,D000622
Todd Young,sen,IN,,https://twitter.com/ToddYoungIN,Y000064
Mike Braun,sen,IN,,https://twitter.com/braun4indiana,B001310
Jerry Moran,sen,KS,,NaN,M000934
Roger Marshall,sen,KS,,https://twitter.com/RogerMarshallMD,M001198
Mitch McConnell,sen,KY,,NaN,M000355
Rand Paul,sen,KY,,https://twitter.com/DrRandPaul,P000603
Bill Cassidy,sen,LA,,https://twitter.com/BillCassidy,C001075
John Kennedy,sen,LA,,https://twitter.com/JohnKennedyLA,K000393
Edward J. Markey,sen,MA,,https://twitter.com/EdMarkey,M000133
Elizabeth Warren,sen,MA,,https://twitter.com/ewarren,W000817
Benjamin L. Cardin,sen,MD,,https://twitter.com/BenCardinforMD,C000141
Chris Van Hollen,sen,MD,,https://twitter.com/VanHollenForMD,V000128
Susan M. Collins,sen,ME,,https://twitter.com/SenSusanCollins,C001035
"Angus S. King, Jr.",sen,ME,,https://twitter.com/AngusforMaine,K000383
Debbie Stabenow,sen,MI,,https://twitter.com/stabenow,S000770
Gary C. Peters,sen,MI,,https://twitter.com/GaryPeters,P000595
Amy Klobuchar,sen,MN,,https://twitter.com/amyklobuchar,K000367
Tina Smith,sen,MN,,https://twitter.com/TinaSmithMN,S001203
Roy Blunt,sen,MO,,https://twitter.com/RoyBluntMO,B000575
Josh Hawley,sen,MO,,https://twitter.com/HawleyMO,H001089
Roger F. Wicker,sen,MS,,https://twitter.com/RogerWicker,W000437
Cindy Hyde-Smith,sen,MS,,https://twitter.com/cindyhydesmith,H001079
Jon Tester,sen,MT,,https://twitter.com/jontester,T000464
Steve Daines,sen,MT,,https://twitter.com/DainesforMT,D000618
Richard Burr,sen,NC,,NaN,B001135
Thom Tillis,sen,NC,,https://twitter.com/ThomTillis,T000476
John Hoeven,sen,ND,,NaN,H001061
Kevin Cramer,sen,ND,,https://twitter.com/kevincramer,C001096
Deb Fischer,sen,NE,,https://twitter.com/DebFischerNE,F000463
